mericarp_num,ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,width,depth,spine_length,tip_distance,spine_num,lower_spines
154,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.26,3.87,5.34,5.55,11.2,2,0
155,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.09,3.89,6.12,4.08,8.66,2,0
156,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,8.13,3.89,6,5.78,12.16,2,0
157,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.28,3.19,5.4,6.03,11.19,2,0
158,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.15,3.53,4.51,5.02,8.76,2,0
159,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.23,2.78,4.88,5.85,10.7,2,0
160,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.93,3.08,5.22,5.6,9.85,2,0
161,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.23,2.79,5.04,4.77,9.95,2,0
162,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.32,3.73,4.67,4.16,7.65,2,0
163,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.41,3.12,5.18,4.01,7.83,2,0
164,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.89,3.04,3.14,3.54,8.43,2,0
165,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.28,4.21,5.94,5.12,10.7,2,0
166,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.97,2.89,5.1,5.45,10.98,2,0
167,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.34,2.94,5.26,5.63,9.21,2,0
168,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.64,3.34,5.59,4.48,8.85,2,0
169,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.04,3,4.63,4.22,8.74,2,0
170,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.09,2.89,5.22,7.7,13.88,2,0
171,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.16,2.86,4.56,3.09,7,2,0
172,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.5,2.78,4.89,4.69,7.2,2,0
173,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.81,3.14,5.03,4.98,8.64,2,0
174,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.06,3.59,5.87,5.12,11.12,2,0
175,CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,7.25,3.44,5.43,5.03,8.75,2,0
