ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,depth,depth_log,depth_sqr
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,5.12,1.6331544390514163,2.262741699796952
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,4.12,1.415853163361435,2.029778313018444
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.17,1.6428726885203377,2.2737634001804143
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.41,1.2267122912954254,1.8466185312619388
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.43,1.4883995840570443,2.1047565179849186
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.77,1.7526720805200082,2.4020824298928627
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.67,1.8976198599275322,2.582634314028992
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.34,1.6752256529721035,2.3108440016582685
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6.12,1.8115620965242347,2.4738633753705965
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,6,1.791759469228055,2.449489742783178
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.4,1.6863989535702288,2.32379000772445
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.51,1.506297153514587,2.12367605815953
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.88,1.5851452198650557,2.209072203437452
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.22,1.6524974018945473,2.2847319317591723
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.04,1.6174060820832772,2.244994432064365
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.67,1.541159071680806,2.1610182784974308
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.18,1.6448050562713916,2.2759613353482084
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.14,1.144222799920162,1.772004514666935
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.94,1.7817091333745536,2.4372115213907883
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.1,1.62924053973028,2.258317958127243
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.26,1.6601310267496185,2.293468988235943
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.59,1.7209792871670078,2.364318083507378
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.63,1.5325568680981427,2.151743479135001
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.22,1.6524974018945473,2.2847319317591723
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.56,1.5173226235262947,2.1354156504062622
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.89,1.5871923034867805,2.211334438749598
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.03,1.6154199841116479,2.2427661492005804
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.87,1.7698546338400052,2.4228082879171433
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.43,1.691939133945844,2.3302360395462087
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.71,1.5496879080283263,2.1702534414210706
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.32,1.463255402256019,2.078460969082653
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,5.26,1.6601310267496185,2.293468988235943
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.2,1.9740810260220096,2.6832815729997477
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,7.1,1.9600947840472698,2.6645825188948455
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,6.4,1.8562979903656263,2.5298221281347035
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,6.03,1.7967470107390942,2.455605831561735
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,4.95,1.599387576580599,2.224859546128699
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.14,1.6370530794670737,2.2671568097509267
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Floreana,0,Playa Negra,40,5.64,1.7298840655099674,2.3748684174075834
